epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/custom_mean_bbox_IoU,metrics/custom_mean_bbox_Dice,metrics/custom_cls_accuracy/abnormality,metrics/custom_cls_precision/abnormality,metrics/custom_cls_recall/abnormality,metrics/custom_cls_f1/abnormality,metrics/custom_cls_auroc/abnormality,metrics/custom_cls_accuracy/text,metrics/custom_cls_precision/text,metrics/custom_cls_recall/text,metrics/custom_cls_f1/text,metrics/custom_cls_auroc/text,val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,246.017,1.95576,1.82604,0.02456,0.63164,0.34956,0.34349,0.1053,0.71099,0.82734,0.58228,0,0,0,0.47409,0.46835,0,0,0,0.61451,2.54102,2.7196,0.05374,0.0014049,0.0014049,0.0014049
27,254.718,2.00096,1.78027,0.02629,0.34874,0.39022,0.35077,0.09663,0.70988,0.82663,0.58228,0,0,0,0.47952,0.47351,0.86667,0.01146,0.02263,0.60713,2.58802,2.87117,0.05643,0.00140294,0.00140294,0.00140294
28,263.621,1.91959,1.77854,0.02419,0.36168,0.30341,0.37176,0.15845,0.71096,0.82734,0.58228,0,0,0,0.49244,0.47333,0.86667,0.01105,0.02183,0.60159,2.46955,2.37163,0.05269,0.00140091,0.00140091,0.00140091
29,274.343,1.98191,1.77564,0.02551,0.52543,0.39044,0.42691,0.24434,0.71679,0.83106,0.58228,0,0,0,0.49816,0.47359,0.875,0.01149,0.02269,0.59787,1.66567,2.13371,0.02337,0.00139881,0.00139881,0.00139881
30,284.633,2.0209,1.77142,0.02526,0.40343,0.41352,0.39252,0.21897,0.72044,0.83333,0.58228,0,0,0,0.50272,0.47975,0.93548,0.02302,0.04493,0.59615,1.96823,2.09342,0.02955,0.00139663,0.00139663,0.00139663
31,293.233,1.93952,1.69048,0.02453,0.39537,0.38937,0.40297,0.17401,0.72177,0.83428,0.58269,1,0.00098,0.00195,0.50641,0.48591,0.84127,0.04071,0.07766,0.59272,2.2981,2.20972,0.04584,0.00139438,0.00139438,0.00139438
32,301.928,2.04113,1.80149,0.02832,0.46021,0.43596,0.43854,0.16914,0.72422,0.83594,0.58307,1,0.00189,0.00378,0.51032,0.48774,0.85507,0.0439,0.08351,0.59148,2.196,1.95307,0.03228,0.00139205,0.00139205,0.00139205
33,310.804,1.95353,1.71099,0.0248,0.47426,0.50575,0.46495,0.13634,0.72618,0.83728,0.5842,1,0.00459,0.00914,0.51259,0.48907,0.86486,0.04618,0.08767,0.59116,2.48157,1.98287,0.05126,0.00138965,0.00138965,0.00138965
34,320.884,1.90909,1.63626,0.02386,0.48926,0.50951,0.44512,0.20293,0.72731,0.83808,0.58712,0.93333,0.01248,0.02463,0.51511,0.49367,0.88636,0.05462,0.1029,0.59178,2.08828,1.90401,0.03457,0.00138718,0.00138718,0.00138718
35,330.658,1.97567,1.65516,0.02629,0.38903,0.58696,0.4184,0.15078,0.72801,0.83858,0.59385,0.92105,0.0303,0.05868,0.51866,0.50163,0.91071,0.06939,0.12895,0.59238,2.33837,2.46853,0.03987,0.00138464,0.00138464,0.00138464
36,339.084,1.95133,1.63927,0.02481,0.49778,0.40496,0.4183,0.1877,0.72958,0.83964,0.59916,0.92857,0.04377,0.0836,0.5224,0.50633,0.92188,0.07804,0.1439,0.59336,2.17751,1.99761,0.03873,0.00138202,0.00138202,0.00138202
