epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/custom_mean_bbox_IoU,metrics/custom_mean_bbox_Dice,metrics/custom_cls_accuracy/abnormality,metrics/custom_cls_precision/abnormality,metrics/custom_cls_recall/abnormality,metrics/custom_cls_f1/abnormality,metrics/custom_cls_auroc/abnormality,metrics/custom_cls_accuracy/text,metrics/custom_cls_precision/text,metrics/custom_cls_recall/text,metrics/custom_cls_f1/text,metrics/custom_cls_auroc/text,val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.2868,3.55032,4.36183,0.06023,0,0,0,0,0,0,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.52043,3.84374,0.07719,4.287e-05,4.287e-05,4.287e-05
2,26.8224,3.63777,4.23565,0.06734,0,0,0,0,0,0,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.52101,3.8435,0.07725,0.000100027,0.000100027,0.000100027
3,37.1246,3.38397,4.21104,0.05729,0,0,0,0,0,0,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.52217,3.84455,0.07725,0.000157173,0.000157173,0.000157173
4,48.2402,3.25283,4.08566,0.05493,0.00027,0.06918,0.00018,5e-05,0.6169,0.76124,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.52162,3.84314,0.07725,0.000214298,0.000214298,0.000214298
5,59.8692,3.15127,4.00635,0.05054,0,0,0,0,0.6169,0.76124,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.5221,3.84308,0.07723,0.000271392,0.000271392,0.000271392
6,68.8239,2.9912,3.80157,0.05003,0.00027,0.06918,0.00017,5e-05,0.61673,0.7611,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.52082,3.84386,0.07723,0.000328447,0.000328447,0.000328447
7,79.0732,2.91111,3.51507,0.04583,0,0,0,0,0.61673,0.7611,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.51663,3.84767,0.0771,0.000385453,0.000385453,0.000385453
8,87.5909,2.75222,3.11729,0.03983,0,0,0,0,0.61673,0.7611,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.5122,3.84746,0.07693,0.000442401,0.000442401,0.000442401
9,95.5275,2.69717,2.81878,0.04056,0.00044,0.07819,0.00027,8e-05,0.62,0.76382,0.58228,0,0,0,0.5,0.46835,0,0,0,0.50402,3.50543,3.84546,0.07666,0.000499282,0.000499282,0.000499282
10,105.21,2.49615,2.46036,0.03551,0.00036,0.06918,0.00023,7e-05,0.62289,0.76611,0.58228,0,0,0,0.5,0.46835,0,0,0,0.50648,3.48314,3.83741,0.07574,0.000556086,0.000556086,0.000556086
