epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/custom_mean_bbox_IoU,metrics/custom_mean_bbox_Dice,metrics/custom_cls_accuracy/abnormality,metrics/custom_cls_precision/abnormality,metrics/custom_cls_recall/abnormality,metrics/custom_cls_f1/abnormality,metrics/custom_cls_auroc/abnormality,metrics/custom_cls_accuracy/text,metrics/custom_cls_precision/text,metrics/custom_cls_recall/text,metrics/custom_cls_f1/text,metrics/custom_cls_auroc/text,val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.80386,3.55124,4.31532,0.06125,0,0,0,0,0,0,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.52055,3.8435,0.0772,4.287e-05,4.287e-05,4.287e-05
2,14.754,3.61676,4.21211,0.0667,0,0,0,0,0,0,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.52102,3.84351,0.07723,0.000100027,0.000100027,0.000100027
3,24.3006,3.34577,4.15031,0.05589,0,0,0,0,0,0,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.52195,3.84403,0.07727,0.000157173,0.000157173,0.000157173
4,34.1164,3.54064,4.28514,0.06311,0.00027,0.06918,0.00018,5e-05,0.62021,0.76391,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.52101,3.84355,0.07728,0.000214298,0.000214298,0.000214298
5,43.0756,3.55065,4.32469,0.06152,0.00027,0.06918,0.00017,5e-05,0.61932,0.76317,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.52251,3.84372,0.07728,0.000271392,0.000271392,0.000271392
6,52.4919,3.47606,4.19323,0.06328,0,0,0,0,0.61932,0.76317,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.5215,3.84354,0.07718,0.000328447,0.000328447,0.000328447
7,61.7062,3.40613,4.12047,0.05843,0.00027,0.06918,0.00018,5e-05,0.62043,0.76405,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.51909,3.84273,0.07705,0.000385453,0.000385453,0.000385453
8,72.9369,3.26139,3.99675,0.05161,0.00027,0.06918,0.00019,5e-05,0.62094,0.76446,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.5126,3.83692,0.07675,0.000442401,0.000442401,0.000442401
9,81.6878,3.10659,3.83479,0.05065,0,0,0,0,0.62094,0.76446,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.4997,3.8314,0.0761,0.000499282,0.000499282,0.000499282
10,89.5772,2.97477,3.63292,0.04569,0.0004,0.06561,0.00023,7e-05,0.62001,0.76367,0.58228,0,0,0,0.50217,0.46835,0,0,0,0.49976,3.47884,3.81938,0.07505,0.000556086,0.000556086,0.000556086
