epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/custom_mean_bbox_IoU,metrics/custom_mean_bbox_Dice,metrics/custom_cls_accuracy/abnormality,metrics/custom_cls_precision/abnormality,metrics/custom_cls_recall/abnormality,metrics/custom_cls_f1/abnormality,metrics/custom_cls_auroc/abnormality,metrics/custom_cls_accuracy/text,metrics/custom_cls_precision/text,metrics/custom_cls_recall/text,metrics/custom_cls_f1/text,metrics/custom_cls_auroc/text,val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6228,3.53207,4.34905,0.06045,0,0,0,0,0,0,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.52055,3.8435,0.0772,4.287e-05,4.287e-05,4.287e-05
2,28.4529,3.65533,4.24579,0.06798,0,0,0,0,0,0,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.52101,3.8435,0.07723,0.000100027,0.000100027,0.000100027
3,37.8879,3.51456,4.27246,0.0605,0.00029,0.07547,0.0002,6e-05,0.61866,0.76271,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.5223,3.84481,0.07729,0.000157173,0.000157173,0.000157173
4,47.3735,3.5395,4.27191,0.06284,0,0,0,0,0.61866,0.76271,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.52102,3.84291,0.07723,0.000214298,0.000214298,0.000214298
5,55.8711,3.49668,4.27773,0.05958,0,0,0,0,0.61866,0.76271,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.51993,3.84265,0.07721,0.000271392,0.000271392,0.000271392
6,64.8545,3.43456,4.16351,0.06101,0.00027,0.06918,0.00017,5e-05,0.6184,0.76248,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.52034,3.84412,0.07716,0.000328447,0.000328447,0.000328447
7,73.8748,3.4408,4.09143,0.05879,0,0,0,0,0.6184,0.76248,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.51645,3.84036,0.07702,0.000385453,0.000385453,0.000385453
8,82.8556,3.28257,3.94441,0.05226,0,0,0,0,0.6184,0.76248,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.5133,3.84036,0.07683,0.000442401,0.000442401,0.000442401
9,90.9166,3.16057,3.75738,0.05139,0,0,0,0,0.6184,0.76248,0.58228,0,0,0,0.5,0.46835,0,0,0,0.49807,3.50211,3.83271,0.07621,0.000499282,0.000499282,0.000499282
10,98.9352,3.01221,3.53426,0.04688,0.00027,0.06289,0.00018,6e-05,0.6232,0.76633,0.58228,0,0,0,0.5,0.46835,0,0,0,0.49816,3.4904,3.82379,0.07556,0.000556086,0.000556086,0.000556086
11,108.306,2.87349,3.3448,0.04413,0.00056,0.09978,0.00036,0.0001,0.6201,0.76388,0.58228,0,0,0,0.5,0.46835,0,0,0,0.49876,3.46326,3.80962,0.07445,0.000612804,0.000612804,0.000612804
12,117.454,2.87143,3.13009,0.04468,0.00195,0.20047,0.00628,0.00093,0.63105,0.77207,0.58228,0,0,0,0.5,0.46835,0,0,0,0.49843,3.42054,3.78272,0.07271,0.000669427,0.000669427,0.000669427
13,127.567,2.74491,2.93202,0.04265,0.00198,0.23845,0.00883,0.00118,0.63238,0.77274,0.58228,0,0,0,0.49784,0.46835,0,0,0,0.49819,3.35837,3.75808,0.07021,0.000725945,0.000725945,0.000725945
14,137.48,2.67038,2.77595,0.03927,0.00335,0.35773,0.02814,0.00387,0.62264,0.76496,0.58228,0,0,0,0.49861,0.46835,0,0,0,0.49776,3.2706,3.72909,0.06661,0.00078235,0.00078235,0.00078235
15,146.751,2.49674,2.65228,0.0366,0.0041,0.48802,0.11614,0.01793,0.61873,0.76214,0.58228,0,0,0,0.49941,0.46835,0,0,0,0.49915,3.10739,3.66231,0.06122,0.000838633,0.000838633,0.000838633
16,156.07,2.43749,2.38325,0.0341,0.00412,0.49431,0.11152,0.02676,0.62375,0.76619,0.58228,0,0,0,0.49687,0.46835,0,0,0,0.50452,2.95611,3.59406,0.05445,0.000894784,0.000894784,0.000894784
17,165.696,2.39565,2.3558,0.03367,0.00449,0.50059,0.16756,0.06043,0.6402,0.77822,0.58228,0,0,0,0.49805,0.46835,0,0,0,0.50928,2.61047,3.52745,0.04447,0.000950793,0.000950793,0.000950793
18,175.548,2.23331,2.23758,0.02938,0.00475,0.5096,0.19468,0.09079,0.66078,0.7925,0.58228,0,0,0,0.49858,0.46835,0,0,0,0.51504,2.25455,3.45401,0.0359,0.00100665,0.00100665,0.00100665
19,185.48,2.17542,2.13683,0.02941,0.00473,0.53476,0.20463,0.12156,0.67739,0.80365,0.58228,0,0,0,0.47489,0.46835,0,0,0,0.53153,2.09413,3.33005,0.03262,0.00106235,0.00106235,0.00106235
20,195.516,2.21625,2.2291,0.03079,0.00512,0.54105,0.20062,0.0607,0.68529,0.80923,0.58228,0,0,0,0.46883,0.46835,0,0,0,0.53339,2.30833,3.33579,0.03814,0.00111789,0.00111789,0.00111789
21,204.358,2.17475,2.1518,0.02987,0.00529,0.60411,0.15801,0.05033,0.69282,0.8144,0.58228,0,0,0,0.4412,0.46835,0,0,0,0.54215,2.24294,3.23418,0.03843,0.00117324,0.00117324,0.00117324
22,212.762,2.15972,2.03352,0.02788,0.00568,0.64644,0.11486,0.0554,0.69898,0.81862,0.58228,0,0,0,0.42712,0.46835,0,0,0,0.56338,2.21367,3.23551,0.04067,0.00122841,0.00122841,0.00122841
