epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/custom_mean_bbox_IoU,metrics/custom_mean_bbox_Dice,metrics/custom_cls_accuracy/abnormality,metrics/custom_cls_precision/abnormality,metrics/custom_cls_recall/abnormality,metrics/custom_cls_f1/abnormality,metrics/custom_cls_auroc/abnormality,metrics/custom_cls_accuracy/text,metrics/custom_cls_precision/text,metrics/custom_cls_recall/text,metrics/custom_cls_f1/text,metrics/custom_cls_auroc/text,val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,248.172,2.09191,1.97903,0.02722,0.97524,0.24895,0.30754,0.10296,0.71194,0.8275,0.58228,0,0,0,0.48554,0.46835,0,0,0,0.61315,2.64443,2.5116,0.0511,0.0014049,0.0014049,0.0014049
27,256.533,2.08589,2.0144,0.02786,0.9584,0.2367,0.32011,0.14284,0.71539,0.82972,0.58228,0,0,0,0.48231,0.46835,0,0,0,0.62524,2.11221,2.71596,0.03427,0.00140294,0.00140294,0.00140294
28,264.861,2.05848,2.00701,0.02621,0.90537,0.28692,0.31576,0.18661,0.7201,0.83269,0.58228,0,0,0,0.48256,0.46835,0,0,0,0.63925,1.79889,2.29632,0.02629,0.00140091,0.00140091,0.00140091
29,273.701,2.12873,1.96425,0.02823,0.96446,0.28692,0.40502,0.14571,0.72066,0.83317,0.58228,0,0,0,0.48448,0.46835,0,0,0,0.65182,2.31799,2.25927,0.04317,0.00139881,0.00139881,0.00139881
30,282.319,2.16811,1.99109,0.02828,0.97737,0.28692,0.44987,0.21569,0.72452,0.83563,0.58228,0,0,0,0.48717,0.46835,0,0,0,0.65748,1.89612,2.10193,0.02668,0.00139663,0.00139663,0.00139663
31,292.034,2.05006,1.87787,0.02594,0.71891,0.36994,0.4089,0.1814,0.72556,0.83638,0.58228,0,0,0,0.48971,0.46835,0,0,0,0.66811,2.26042,1.85013,0.04136,0.00139438,0.00139438,0.00139438
32,300.789,2.0392,1.88386,0.02692,0.69018,0.35906,0.37772,0.16386,0.72607,0.83677,0.58228,0,0,0,0.49379,0.46835,0,0,0,0.66937,2.29691,1.87806,0.03621,0.00139205,0.00139205,0.00139205
33,309.814,2.00894,1.85316,0.02609,0.7162,0.41498,0.43388,0.17178,0.72661,0.8372,0.58228,0,0,0,0.49718,0.46835,0,0,0,0.67811,2.28049,1.84142,0.04469,0.00138965,0.00138965,0.00138965
34,320.131,1.93928,1.74591,0.02316,0.62381,0.40541,0.41834,0.23007,0.72929,0.8389,0.58228,0,0,0,0.50052,0.46835,0,0,0,0.67595,1.90606,1.70681,0.0306,0.00138718,0.00138718,0.00138718
35,331.851,1.98247,1.7625,0.02595,0.77558,0.38739,0.4176,0.14479,0.72971,0.83918,0.58228,0,0,0,0.5039,0.46835,0,0,0,0.67893,2.2468,2.02133,0.03614,0.00138464,0.00138464,0.00138464
36,341.332,1.99702,1.77016,0.02537,0.62733,0.26388,0.31783,0.14599,0.73155,0.84038,0.58228,0,0,0,0.50761,0.46835,0,0,0,0.68491,1.96022,2.11575,0.029,0.00138202,0.00138202,0.00138202
37,349.72,2.02809,1.72583,0.02459,0.75553,0.38904,0.41635,0.18978,0.73379,0.84181,0.58228,0,0,0,0.51178,0.46835,0,0,0,0.69176,1.96764,1.93403,0.02941,0.00137933,0.00137933,0.00137933
38,358.114,1.90653,1.77062,0.02533,0.78859,0.35249,0.39653,0.15207,0.73465,0.84239,0.58228,0,0,0,0.5153,0.46835,0,0,0,0.69677,2.10516,1.9644,0.03524,0.00137656,0.00137656,0.00137656
39,366.484,1.89621,1.73969,0.02363,0.66583,0.39389,0.38685,0.20519,0.73649,0.8436,0.5852,1,0.00699,0.01389,0.51961,0.46835,0,0,0,0.70301,1.82377,1.73766,0.03018,0.00137373,0.00137373,0.00137373
40,375.499,1.96234,1.68107,0.02325,0.73784,0.40944,0.41838,0.24271,0.73826,0.84475,0.58734,1,0.01212,0.02395,0.52425,0.46835,0,0,0,0.70754,1.75729,1.67207,0.02562,0.00137082,0.00137082,0.00137082
41,385.99,1.97008,1.75225,0.02446,0.72831,0.39275,0.40809,0.2022,0.73932,0.8455,0.59,0.96296,0.01922,0.03768,0.5291,0.46835,0,0,0,0.71348,2.0715,1.70771,0.03355,0.00136785,0.00136785,0.00136785
42,394.493,1.88233,1.72818,0.02349,0.66905,0.44144,0.43373,0.22075,0.74045,0.84625,0.59042,0.96552,0.0202,0.03958,0.53363,0.46835,0,0,0,0.71403,2.01235,1.73957,0.03176,0.0013648,0.0013648,0.0013648
43,402.788,1.84963,1.67896,0.02258,0.76298,0.36093,0.41109,0.19191,0.7413,0.84682,0.59376,0.97561,0.02819,0.05479,0.53795,0.46835,0,0,0,0.7181,2.08035,1.74208,0.03516,0.00136168,0.00136168,0.00136168
44,411.151,1.93184,1.66143,0.02524,0.69884,0.30859,0.36361,0.12033,0.74026,0.84618,0.59465,0.97778,0.0303,0.05878,0.5419,0.46835,0,0,0,0.72111,2.65933,1.9381,0.05858,0.00135849,0.00135849,0.00135849
45,419.475,1.94582,1.65751,0.02449,0.76827,0.43097,0.43245,0.14861,0.74016,0.84618,0.59578,0.98,0.033,0.06384,0.54598,0.46835,0,0,0,0.72602,2.38276,1.85,0.04979,0.00135523,0.00135523,0.00135523
46,428.272,1.82466,1.61885,0.02228,0.7349,0.42017,0.44557,0.15844,0.74039,0.84639,0.59549,0.98,0.03228,0.0625,0.54954,0.46835,0,0,0,0.72444,2.23566,1.80671,0.04458,0.0013519,0.0013519,0.0013519
47,437.006,1.8494,1.63406,0.02311,0.79412,0.39389,0.42898,0.18545,0.74131,0.84702,0.59763,0.98305,0.0374,0.07205,0.55258,0.46835,0,0,0,0.72537,2.08525,1.82498,0.03462,0.00134851,0.00134851,0.00134851
48,445.776,1.85336,1.56787,0.02253,0.69508,0.41784,0.42018,0.22005,0.74258,0.84783,0.60258,0.94253,0.05177,0.09814,0.55476,0.46835,0,0,0,0.72926,1.7799,1.84559,0.02583,0.00134504,0.00134504,0.00134504
49,454.14,1.81772,1.57409,0.02359,0.73623,0.42769,0.44171,0.14735,0.74234,0.84771,0.60734,0.9292,0.06494,0.12139,0.5566,0.46835,0,0,0,0.73231,2.43928,1.98972,0.04827,0.0013415,0.0013415,0.0013415
50,462.504,1.80707,1.53291,0.02164,0.75266,0.40855,0.42639,0.24188,0.7435,0.84849,0.61215,0.92754,0.07758,0.14318,0.55989,0.46835,0,0,0,0.73504,1.83417,1.66912,0.03047,0.0013379,0.0013379,0.0013379
51,471.042,1.86278,1.55425,0.02157,0.75727,0.45524,0.45952,0.24364,0.74463,0.84923,0.61653,0.93671,0.08794,0.16078,0.56378,0.46835,0,0,0,0.73885,1.90389,1.55557,0.03013,0.00133423,0.00133423,0.00133423
52,480.993,1.78772,1.54668,0.02112,0.83151,0.44538,0.46417,0.25323,0.74593,0.85008,0.61928,0.94186,0.09441,0.17161,0.56806,0.46835,0,0,0,0.74212,1.76576,1.55463,0.02741,0.0013305,0.0013305,0.0013305
53,490.622,1.83181,1.51576,0.02169,0.77144,0.48085,0.45724,0.20811,0.74613,0.85027,0.62073,0.94475,0.09777,0.1772,0.57171,0.46835,0,0,0,0.73917,2.12027,1.60656,0.04174,0.00132669,0.00132669,0.00132669
54,499.237,1.8129,1.5418,0.02251,0.79392,0.46174,0.44941,0.16405,0.74603,0.85024,0.62471,0.94581,0.10774,0.19345,0.57565,0.46835,0,0,0,0.73866,2.29855,1.70718,0.04194,0.00132282,0.00132282,0.00132282
55,507.988,1.83866,1.49765,0.02132,0.77527,0.44794,0.44186,0.21464,0.74685,0.85079,0.62923,0.95133,0.11846,0.21068,0.57925,0.46835,0,0,0,0.74117,1.94313,1.69137,0.03296,0.00131888,0.00131888,0.00131888
56,516.374,1.80394,1.52714,0.02215,0.79628,0.46961,0.4833,0.27629,0.74821,0.85166,0.63269,0.9551,0.12662,0.2236,0.58246,0.46835,0,0,0,0.74391,1.6188,1.51833,0.0228,0.00131488,0.00131488,0.00131488
57,525.979,1.81181,1.51765,0.02303,0.80127,0.45045,0.46221,0.22756,0.74882,0.85209,0.63313,0.95618,0.12759,0.22514,0.58568,0.46835,0,0,0,0.74676,1.92579,1.54419,0.0334,0.00131082,0.00131082,0.00131082
58,534.677,1.80542,1.50494,0.02281,0.6266,0.43292,0.44269,0.21136,0.74906,0.85229,0.63291,0.95669,0.12696,0.22417,0.58904,0.46835,0,0,0,0.74776,2.0917,1.5549,0.04035,0.00130668,0.00130668,0.00130668
59,543.078,1.82678,1.54798,0.02172,0.74611,0.46391,0.47218,0.27134,0.74992,0.85284,0.63484,0.9588,0.13148,0.23126,0.59258,0.46835,0,0,0,0.75041,1.74857,1.44304,0.02553,0.00130249,0.00130249,0.00130249
60,551.815,1.74626,1.47983,0.02064,0.83822,0.47383,0.49483,0.27218,0.75099,0.85351,0.63776,0.9614,0.13838,0.24194,0.59616,0.46835,0,0,0,0.75284,1.627,1.44073,0.022,0.00129823,0.00129823,0.00129823
61,560.14,1.75732,1.48163,0.01991,0.78857,0.42237,0.46858,0.28871,0.75205,0.85418,0.64121,0.95513,0.14804,0.25634,0.59803,0.46835,0,0,0,0.75542,1.59918,1.69277,0.02336,0.00129391,0.00129391,0.00129391
62,569.835,1.74718,1.45587,0.02004,0.85091,0.45102,0.48733,0.29479,0.7531,0.85486,0.64434,0.9497,0.15689,0.2693,0.60098,0.46835,0,0,0,0.75782,1.62788,1.47324,0.0233,0.00128952,0.00128952,0.00128952
63,579.219,1.7361,1.45482,0.0211,0.79972,0.42821,0.47298,0.25342,0.75374,0.85528,0.64497,0.95087,0.15825,0.27134,0.60421,0.46835,0,0,0,0.75946,1.78186,1.42229,0.02906,0.00128507,0.00128507,0.00128507
64,587.464,1.69973,1.43353,0.02084,0.42367,0.47229,0.46658,0.26197,0.75456,0.85581,0.64577,0.95211,0.16004,0.27402,0.60697,0.46835,0,0,0,0.76163,1.7528,1.50409,0.02782,0.00128057,0.00128057,0.00128057
65,595.712,1.72216,1.41837,0.01954,0.74378,0.46847,0.45742,0.29313,0.75567,0.85651,0.6483,0.95442,0.16597,0.28276,0.60999,0.46835,0,0,0,0.76376,1.58997,1.3889,0.02174,0.00127599,0.00127599,0.00127599
66,603.963,1.7281,1.39469,0.01917,0.66536,0.4865,0.46608,0.26848,0.75617,0.85684,0.6496,0.95584,0.16896,0.28716,0.61303,0.46835,0,0,0,0.76472,1.7759,1.4545,0.02791,0.00127136,0.00127136,0.00127136
67,612.251,1.70153,1.41564,0.02114,0.47786,0.47918,0.47838,0.25667,0.75653,0.85707,0.64935,0.9563,0.16825,0.28615,0.61559,0.46835,0,0,0,0.76513,1.8898,1.49269,0.02789,0.00126667,0.00126667,0.00126667
68,620.811,1.74252,1.44393,0.02015,0.62288,0.50263,0.50985,0.22812,0.75708,0.85745,0.65134,0.95802,0.17291,0.29294,0.61792,0.46835,0,0,0,0.76554,2.10024,1.64412,0.03367,0.00126192,0.00126192,0.00126192
69,629.619,1.72664,1.43901,0.02015,0.76863,0.46847,0.48937,0.262,0.75765,0.85782,0.65309,0.95519,0.17787,0.29989,0.62018,0.46835,0,0,0,0.76555,1.76293,1.44194,0.02758,0.00125711,0.00125711,0.00125711
70,638.258,1.69546,1.44361,0.02096,0.5719,0.49727,0.49159,0.25324,0.75805,0.85809,0.65479,0.9526,0.18268,0.30657,0.62226,0.46854,1,0.00034,0.00068,0.76526,1.91648,1.53411,0.03102,0.00125224,0.00125224,0.00125224
71,646.6,1.6896,1.39583,0.01962,0.50511,0.46898,0.47324,0.2505,0.75869,0.85851,0.65573,0.95374,0.18481,0.30962,0.62451,0.46871,1,0.00067,0.00134,0.76647,1.79215,1.72337,0.02674,0.00124731,0.00124731,0.00124731
72,654.956,1.66082,1.39186,0.02012,0.73133,0.45946,0.46847,0.28243,0.75953,0.85904,0.65788,0.95359,0.19024,0.31719,0.62647,0.46871,1,0.00066,0.00132,0.76812,1.588,1.49984,0.02249,0.00124233,0.00124233,0.00124233
73,663.332,1.66917,1.37654,0.0203,0.73469,0.4621,0.46613,0.25969,0.76011,0.85941,0.65944,0.95316,0.19427,0.32276,0.62914,0.4687,1,0.00065,0.0013,0.76981,1.71041,1.50224,0.02378,0.00123728,0.00123728,0.00123728
74,671.671,1.66923,1.40828,0.02018,0.44717,0.47411,0.45288,0.25902,0.76048,0.85966,0.66011,0.95409,0.19574,0.32484,0.63163,0.46904,1,0.00129,0.00257,0.77139,1.76938,1.48083,0.032,0.00123219,0.00123219,0.00123219
75,680.063,1.73321,1.42286,0.02182,0.53745,0.51371,0.47189,0.29111,0.76124,0.86013,0.66194,0.95211,0.20081,0.33166,0.63398,0.46937,1,0.0019,0.0038,0.77291,1.62785,1.42126,0.02302,0.00122703,0.00122703,0.00122703
76,688.308,1.80939,1.4331,0.02305,0.61338,0.49915,0.47778,0.29285,0.76199,0.8606,0.66306,0.95158,0.20375,0.33563,0.63635,0.46935,1,0.00188,0.00375,0.77444,1.5766,1.43481,0.02166,0.00122182,0.00122182,0.00122182
77,697.032,1.71086,1.4651,0.02048,0.80654,0.43836,0.48957,0.2878,0.7626,0.861,0.66513,0.95,0.20937,0.34312,0.63798,0.46934,1,0.00186,0.0037,0.77585,1.68158,1.41357,0.02494,0.00121656,0.00121656,0.00121656
78,705.603,1.73594,1.47919,0.02091,0.75046,0.48677,0.48164,0.27633,0.76296,0.86121,0.66732,0.94863,0.21523,0.35085,0.63988,0.46933,1,0.00183,0.00366,0.77668,1.67165,1.41415,0.02388,0.00121124,0.00121124,0.00121124
79,713.965,1.65536,1.39909,0.01996,0.55207,0.55397,0.48882,0.26573,0.7632,0.86138,0.6688,0.95,0.21864,0.35547,0.64216,0.46932,1,0.00181,0.00361,0.77737,1.80368,1.42509,0.02876,0.00120586,0.00120586,0.00120586
80,722.211,1.64197,1.40569,0.01963,0.72115,0.47748,0.48099,0.29259,0.76383,0.86176,0.66915,0.95074,0.21932,0.35642,0.64435,0.4693,1,0.00179,0.00357,0.77845,1.59382,1.35228,0.02109,0.00120044,0.00120044,0.00120044
81,730.477,1.73454,1.43961,0.02143,0.80031,0.38374,0.44141,0.2526,0.76409,0.86194,0.66964,0.95008,0.22073,0.35823,0.64647,0.46929,1,0.00176,0.00352,0.77927,1.82144,1.5003,0.03068,0.00119496,0.00119496,0.00119496
82,738.774,1.65883,1.38466,0.0197,0.5566,0.45666,0.45181,0.22592,0.76413,0.86198,0.6695,0.95056,0.22025,0.35764,0.64874,0.46959,1,0.00232,0.00463,0.78018,1.91346,1.61187,0.02976,0.00118943,0.00118943,0.00118943
