epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/custom_mean_bbox_IoU,metrics/custom_mean_bbox_Dice,metrics/custom_cls_accuracy/abnormality,metrics/custom_cls_precision/abnormality,metrics/custom_cls_recall/abnormality,metrics/custom_cls_f1/abnormality,metrics/custom_cls_auroc/abnormality,metrics/custom_cls_accuracy/text,metrics/custom_cls_precision/text,metrics/custom_cls_recall/text,metrics/custom_cls_f1/text,metrics/custom_cls_auroc/text,val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,253.94,2.04638,1.94726,0.0262,1,0.10335,0.34349,0.20663,0.7203,0.83254,0.58228,0,0,0,0.39349,0.46835,0,0,0,0.64845,1.87938,2.55441,0.02695,0.0014049,0.0014049,0.0014049
27,264.263,1.98657,1.89633,0.0258,0.99496,0.27503,0.37085,0.21466,0.72577,0.83607,0.58228,0,0,0,0.40037,0.46835,0,0,0,0.6421,1.93392,2.30774,0.02923,0.00140294,0.00140294,0.00140294
28,273.851,1.9454,1.85795,0.02462,0.92343,0.26883,0.34946,0.22164,0.73212,0.84019,0.58228,0,0,0,0.40763,0.46835,0,0,0,0.65222,1.6038,2.17618,0.02308,0.00140091,0.00140091,0.00140091
29,284.358,1.95889,1.82427,0.02517,0.99107,0.30671,0.37174,0.19419,0.73325,0.84103,0.58228,0,0,0,0.41514,0.46835,0,0,0,0.65807,2.09864,2.01388,0.03503,0.00139881,0.00139881,0.00139881
30,293.546,1.96746,1.84258,0.02461,0.98317,0.3174,0.36879,0.18591,0.73454,0.84189,0.58228,0,0,0,0.42204,0.46835,0,0,0,0.6595,2.20301,1.8163,0.04081,0.00139663,0.00139663,0.00139663
31,303.535,1.98894,1.74708,0.02549,0.97669,0.2827,0.35518,0.09358,0.73366,0.8414,0.58228,0,0,0,0.42878,0.46835,0,0,0,0.66037,2.61428,2.07875,0.05378,0.00139438,0.00139438,0.00139438
32,311.9,1.99563,1.78766,0.026,0.96362,0.31646,0.3927,0.12911,0.73517,0.84245,0.58228,0,0,0,0.43521,0.46835,0,0,0,0.66558,2.5609,1.94838,0.04588,0.00139205,0.00139205,0.00139205
33,320.1,1.91728,1.69429,0.02437,0.70125,0.33486,0.37494,0.13213,0.73604,0.84313,0.58228,0,0,0,0.44083,0.46835,0,0,0,0.66671,2.48254,1.91765,0.04857,0.00138965,0.00138965,0.00138965
34,328.258,1.91337,1.62881,0.0232,0.69398,0.43243,0.43163,0.22306,0.73849,0.84478,0.58228,0,0,0,0.44725,0.46835,0,0,0,0.66774,1.85256,1.75587,0.02614,0.00138718,0.00138718,0.00138718
35,337.822,1.94812,1.74509,0.02578,0.69345,0.41368,0.43801,0.21579,0.74147,0.8467,0.58228,0,0,0,0.45401,0.46835,0,0,0,0.67477,1.80075,1.75484,0.02647,0.00138464,0.00138464,0.00138464
36,346.478,1.92745,1.66205,0.02417,0.58982,0.4207,0.4413,0.21906,0.74289,0.84774,0.58228,0,0,0,0.45975,0.46835,0,0,0,0.68177,2.01587,1.62052,0.03621,0.00138202,0.00138202,0.00138202
37,355.553,1.96443,1.642,0.02443,0.69224,0.36036,0.42973,0.24751,0.74465,0.84894,0.58228,0,0,0,0.4654,0.46835,0,0,0,0.68215,1.82907,1.54169,0.02674,0.00137933,0.00137933,0.00137933
38,365.555,1.9257,1.71368,0.0253,0.49669,0.41883,0.44381,0.1766,0.74428,0.84878,0.58228,0,0,0,0.47117,0.46835,0,0,0,0.68171,2.30518,1.65139,0.03684,0.00137656,0.00137656,0.00137656
39,374.431,1.91675,1.62738,0.02471,0.44435,0.47204,0.40806,0.22182,0.74511,0.84936,0.58488,1,0.00622,0.01236,0.47694,0.46835,0,0,0,0.68047,1.96209,1.57197,0.03421,0.00137373,0.00137373,0.00137373
40,382.85,1.94399,1.62649,0.02329,0.72001,0.38202,0.40565,0.23984,0.74651,0.85024,0.59051,1,0.0197,0.03863,0.48293,0.46835,0,0,0,0.68495,1.81238,1.66387,0.025,0.00137082,0.00137082,0.00137082
41,391.608,1.94152,1.66698,0.02425,0.58074,0.46039,0.45081,0.23961,0.74776,0.85108,0.59308,1,0.02587,0.05043,0.48906,0.46835,0,0,0,0.68383,1.8519,1.54346,0.02853,0.00136785,0.00136785,0.00136785
42,401.976,1.87238,1.5939,0.02357,0.55381,0.45194,0.46702,0.20646,0.74804,0.85132,0.59283,1,0.02525,0.04926,0.49594,0.46835,0,0,0,0.68176,2.20716,1.58766,0.04023,0.0013648,0.0013648,0.0013648
