epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/custom_mean_bbox_IoU,metrics/custom_mean_bbox_Dice,metrics/custom_cls_accuracy/abnormality,metrics/custom_cls_precision/abnormality,metrics/custom_cls_recall/abnormality,metrics/custom_cls_f1/abnormality,metrics/custom_cls_auroc/abnormality,metrics/custom_cls_accuracy/text,metrics/custom_cls_precision/text,metrics/custom_cls_recall/text,metrics/custom_cls_f1/text,metrics/custom_cls_auroc/text,val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.16853,3.55407,4.36146,0.06134,0,0,0,0,0,0,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.52055,3.8435,0.0772,4.287e-05,4.287e-05,4.287e-05
2,16.0159,3.63209,4.25422,0.06732,0,0,0,0,0,0,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.52087,3.84356,0.07722,0.000100027,0.000100027,0.000100027
3,25.7381,3.31295,4.17759,0.05509,0.00027,0.06918,0.00018,5e-05,0.62011,0.76384,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.5221,3.84385,0.07724,0.000157173,0.000157173,0.000157173
4,37.8627,3.23507,4.05981,0.05415,0,0,0,0,0.62011,0.76384,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.52132,3.84241,0.07721,0.000214298,0.000214298,0.000214298
5,47.9349,2.99282,3.85043,0.04665,0,0,0,0,0.62011,0.76384,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.52047,3.84262,0.07718,0.000271392,0.000271392,0.000271392
6,57.8788,2.75026,3.49048,0.04418,0,0,0,0,0.62011,0.76384,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.51863,3.84296,0.07714,0.000328447,0.000328447,0.000328447
7,67.223,2.66667,3.06669,0.03949,0,0,0,0,0.62011,0.76384,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.51502,3.84342,0.07698,0.000385453,0.000385453,0.000385453
8,76.3629,2.6424,2.71676,0.03716,0.00027,0.06918,0.00018,5e-05,0.62006,0.76381,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.5067,3.84187,0.07673,0.000442401,0.000442401,0.000442401
9,86.2509,2.59135,2.4692,0.03779,0.00028,0.06918,0.00019,5e-05,0.6188,0.76279,0.58228,0,0,0,0.5,0.46835,0,0,0,0.5,3.50312,3.84227,0.07647,0.000499282,0.000499282,0.000499282
10,96.2371,2.55591,2.42111,0.03544,0,0,0,0,0.6188,0.76279,0.58228,0,0,0,0.49499,0.46835,0,0,0,0.50024,3.4893,3.83809,0.0759,0.000556086,0.000556086,0.000556086
11,105.388,2.39352,2.28301,0.03262,0,0,0,0,0.6188,0.76279,0.58228,0,0,0,0.49379,0.46835,0,0,0,0.50302,3.46886,3.8303,0.07502,0.000612804,0.000612804,0.000612804
12,114.167,2.41411,2.22979,0.03399,0.00053,0.07612,0.00031,7e-05,0.61252,0.75813,0.58228,0,0,0,0.48446,0.46835,0,0,0,0.50497,3.44435,3.82189,0.07411,0.000669427,0.000669427,0.000669427
13,123.802,2.31062,2.20851,0.03318,0.00203,0.19897,0.00133,0.00042,0.62078,0.76452,0.58228,0,0,0,0.47552,0.46835,0,0,0,0.50616,3.42863,3.81912,0.07375,0.000725945,0.000725945,0.000725945
14,134.447,2.25605,2.17376,0.03119,0.00224,0.21792,0.00565,0.00096,0.63324,0.77368,0.58228,0,0,0,0.47521,0.46835,0,0,0,0.50698,3.37264,3.80106,0.07183,0.00078235,0.00078235,0.00078235
